Type,Name,Theater,SupplyClassNumber,SubClass,FuelClass,Intensity1Rate,Intensity2Rate,Intensity3Rate,Intensity4Rate
SRC,01469A200,3,9,"","",0.082,0.082,0.082,0.082
SRC,01469A300,1,3,A,JP8,8.623,8.623,8.623,8.623
SRC,01469A300,1,3,W,DF2,1.515,1.515,1.515,1.515
SRC,01469A300,1,3,W,MG1,1.18,1.18,1.18,1.18
SRC,01469A300,1,7,"","",3.377,0.066,0.036,0.024
SRC,01469A300,1,9,"","",0.072,0.072,0.072,0.072
SRC,01469A300,3,3,A,JP8,8.623,8.623,8.623,8.623
SRC,01469A300,3,3,W,DF2,1.317,1.317,1.317,1.317
SRC,01469A300,3,3,W,MG1,1.946,1.946,1.946,1.946
SRC,01469A300,3,7,"","",19.946,2.311,1.263,0.808
SRC,01469A300,3,9,"","",0.072,0.072,0.072,0.072
SRC,01475A100,1,3,A,JP8,30.1,30.1,30.1,30.1
SRC,01475A100,1,3,W,DF2,5.502,5.502,5.502,5.502
SRC,01475A100,1,3,W,MG1,2.295,2.295,2.295,2.295
SRC,01475A100,1,7,"","",46.107,0.138,0.076,0.049
SRC,01475A100,1,9,"","",0.458,0.458,0.458,0.458
SRC,01475A100,3,3,A,JP8,30.1,30.1,30.1,30.1
SRC,01475A100,3,3,W,DF2,6.676,6.676,6.676,6.676
SRC,01475A100,3,3,W,MG1,2.502,2.502,2.502,2.502
SRC,01475A100,3,7,"","",65.208,7.424,2.277,2.529
SRC,01475A100,3,9,"","",0.458,0.458,0.458,0.458
SRC,01475A200,1,3,A,JP8,30.067,30.067,30.067,30.067
SRC,01475A200,1,3,W,DF2,5.043,5.043,5.043,5.043
SRC,01475A200,1,3,W,MG1,1.862,1.862,1.862,1.862
SRC,01475A200,1,7,"","",52.832,0.114,0.062,0.04
SRC,01475A200,1,9,"","",0.444,0.444,0.444,0.444
SRC,01475A200,3,3,A,JP8,30.067,30.067,30.067,30.067
SRC,01475A200,3,3,W,DF2,5.891,5.891,5.891,5.891
SRC,01475A200,3,3,W,MG1,2.031,2.031,2.031,2.031
SRC,01475A200,3,7,"","",69.81,7.453,2.13,2.216
SRC,01475A200,3,9,"","",0.444,0.444,0.444,0.444
SRC,01476A100,1,3,W,DF2,13.763,13.763,13.763,13.763
SRC,01476A100,1,3,W,MG1,5.391,5.391,5.391,5.391
SRC,01476A100,1,7,"","",16.564,0.327,0.179,0.115
SRC,01476A100,1,9,"","",0.551,0.551,0.551,0.551
SRC,01476A100,3,3,W,DF2,17.404,17.404,17.404,17.404
SRC,01476A100,3,3,W,MG1,5.173,5.173,5.173,5.173
SRC,01476A100,3,7,"","",52.737,11.141,4.692,2.827
SRC,01476A100,3,9,"","",0.551,0.551,0.551,0.551
SRC,01476A200,1,3,W,DF2,14.915,14.915,14.915,14.915
SRC,01476A200,1,3,W,MG1,5.128,5.128,5.128,5.128
SRC,01476A200,1,7,"","",15.848,0.311,0.171,0.11
SRC,01476A200,1,9,"","",0.646,0.646,0.646,0.646
SRC,01476A200,3,3,W,DF2,18.055,18.055,18.055,18.055
SRC,01476A200,3,3,W,MG1,4.921,4.921,4.921,4.921
SRC,01476A200,3,7,"","",55.713,11.805,5.238,3.128
SRC,01476A200,3,9,"","",0.646,0.646,0.646,0.646
SRC,01479A100,1,3,A,JP8,14.4,14.4,14.4,14.4
SRC,01479A100,1,3,W,DF2,1.85,1.85,1.85,1.85
SRC,01479A100,1,3,W,MG1,1.558,1.558,1.558,1.558
SRC,01479A100,1,7,"","",16.125,0.092,0.05,0.033
SRC,01479A100,1,9,"","",0.1,0.1,0.1,0.1
SRC,01479A100,3,3,A,JP8,14.4,14.4,14.4,14.4
SRC,01479A100,3,3,W,DF2,1.608,1.608,1.608,1.608
SRC,01479A100,3,3,W,MG1,2.625,2.625,2.625,2.625
SRC,01479A100,3,7,"","",48.392,3.125,1.7,1.1
SRC,01479A100,3,9,"","",0.1,0.1,0.1,0.1
SRC,01479A200,1,3,A,JP8,15.805,15.805,15.805,15.805
SRC,01479A200,1,3,W,DF2,1.396,1.396,1.396,1.396
SRC,01479A200,1,3,W,MG1,1.14,1.14,1.14,1.14
SRC,01479A200,1,7,"","",16.524,0.067,0.037,0.024
SRC,01479A200,1,9,"","",0.104,0.104,0.104,0.104
SRC,01479A200,3,3,A,JP8,15.805,15.805,15.805,15.805
SRC,01479A200,3,3,W,DF2,1.207,1.207,1.207,1.207
SRC,01479A200,3,3,W,MG1,1.921,1.921,1.921,1.921
SRC,01479A200,3,7,"","",44.64,2.445,1.329,0.854
SRC,01479A200,3,9,"","",0.104,0.104,0.104,0.104
SRC,01482A000,1,3,W,DF2,3.095,3.095,3.095,3.095
SRC,01482A000,1,3,W,MG1,5.929,5.929,5.929,5.929
SRC,01482A000,1,7,"","",10.845,0.167,0.095,0.06
SRC,01482A000,1,9,"","",0.095,0.095,0.095,0.095
SRC,01482A000,3,3,W,DF2,3.071,3.071,3.071,3.071
SRC,01482A000,3,3,W,MG1,5.929,5.929,5.929,5.929
SRC,01482A000,3,7,"","",20.071,2.238,1.214,0.702
SRC,01482A000,3,9,"","",0.095,0.095,0.095,0.095
SRC,01482L000,1,3,W,DF2,4.424,4.424,4.424,4.424
SRC,01482L000,1,3,W,MG1,8.015,8.015,8.015,8.015
SRC,01482L000,1,7,"","",12.53,0.212,0.121,0.076
SRC,01482L000,1,9,"","",0.076,0.076,0.076,0.076
SRC,01482L000,3,3,W,DF2,4.318,4.318,4.318,4.318
SRC,01482L000,3,3,W,MG1,7.97,7.97,7.97,7.97
SRC,01482L000,3,7,"","",25.015,3.015,1.652,0.894
SRC,01482L000,3,9,"","",0.076,0.076,0.076,0.076
SRC,01500LB00,1,3,A,JP8,113,113,113,113
SRC,01500LB00,1,3,W,DF2,16,16,16,16
SRC,01500LB00,1,3,W,MG1,181,181,181,181
SRC,01500LB00,1,7,"","",0.5,0,0,0
SRC,01500LB00,1,9,"","",11.333,11.333,11.333,11.333
SRC,01500LB00,3,3,A,JP8,101,101,101,101
SRC,01500LB00,3,3,W,DF2,14,14,14,14
SRC,01500LB00,3,3,W,MG1,362,362,362,362
SRC,01500LB00,3,7,"","",2448.667,172.167,85.667,47
SRC,01500LB00,3,9,"","",11.333,11.333,11.333,11.333
SRC,01507LA00,1,3,A,JP8,3.512,3.512,3.512,3.512
SRC,01507LA00,1,3,W,DF2,11.841,11.841,11.841,11.841
SRC,01507LA00,1,3,W,MG1,3.585,3.585,3.585,3.585
SRC,01507LA00,1,7,"","",4.195,0.171,0.098,0.061
SRC,01507LA00,1,9,"","",0.524,0.524,0.524,0.524
SRC,01507LA00,3,3,A,JP8,3.512,3.512,3.512,3.512
SRC,01507LA00,3,3,W,DF2,10.098,10.098,10.098,10.098
SRC,01507LA00,3,3,W,MG1,4.39,4.39,4.39,4.39
SRC,01507LA00,3,7,"","",63.293,11.329,6.207,3.537
SRC,01507LA00,3,9,"","",0.524,0.524,0.524,0.524
SRC,01533AA00,1,3,W,DF2,1.219,1.219,1.219,1.219
SRC,01533AA00,1,7,"","",0.875,0,0,0
SRC,01533AA00,1,9,"","",0.016,0.016,0.016,0.016
SRC,01533AA00,3,3,W,DF2,1.219,1.219,1.219,1.219
SRC,01533AA00,3,7,"","",10.141,1.469,0.438,0.281
SRC,01533AA00,3,9,"","",0.016,0.016,0.016,0.016
SRC,01533AB00,1,3,W,DF2,1.694,1.694,1.694,1.694
SRC,01533AB00,1,7,"","",1.306,0,0,0
SRC,01533AB00,1,9,"","",0.02,0.02,0.02,0.02
SRC,01533AB00,3,3,W,DF2,1.694,1.694,1.694,1.694
SRC,01533AB00,3,7,"","",12.265,1.735,0.571,0.367
SRC,01533AB00,3,9,"","",0.02,0.02,0.02,0.02
SRC,01533AC00,1,3,W,DF2,11,11,11,11
SRC,01533AC00,1,7,"","",7.5,0.833,0,0
SRC,01533AC00,1,9,"","",0.167,0.167,0.167,0.167
SRC,01533AC00,3,3,W,DF2,11.167,11.167,11.167,11.167
SRC,01533AC00,3,7,"","",79.667,6,2.833,1.833
SRC,01533AC00,3,9,"","",0.167,0.167,0.167,0.167
SRC,01567A000,1,3,W,DF2,1.308,1.308,1.308,1.308
SRC,01567A000,1,3,W,MG1,0.077,0.077,0.077,0.077
SRC,01567A000,1,7,"","",2.103,0,0,0
SRC,01567A000,1,9,"","",0.026,0.026,0.026,0.026
SRC,01567A000,3,3,W,DF2,1.308,1.308,1.308,1.308
SRC,01567A000,3,3,W,MG1,0.077,0.077,0.077,0.077
SRC,01567A000,3,7,"","",57.744,1.615,0.564,0.385
SRC,01567A000,3,9,"","",0.026,0.026,0.026,0.026
SRC,01602A000,1,3,W,DF2,6.782,6.782,6.782,6.782
SRC,01602A000,1,3,W,MG1,6.092,6.092,6.092,6.092
SRC,01602A000,1,7,"","",13.115,0.011,0,0
SRC,01602A000,1,9,"","",0.046,0.046,0.046,0.046
SRC,01602A000,3,3,W,DF2,8.644,8.644,8.644,8.644
SRC,01602A000,3,3,W,MG1,6.092,6.092,6.092,6.092
SRC,01602A000,3,7,"","",26.782,4.011,1.276,0.724
SRC,01602A000,3,9,"","",0.046,0.046,0.046,0.046
SRC,01603A000,1,3,A,JP8,41.538,41.538,41.538,41.538
SRC,01603A000,1,3,W,DF2,8.839,8.839,8.839,8.839
SRC,01603A000,1,3,W,MG1,1.989,1.989,1.989,1.989
SRC,01603A000,1,7,"","",12.656,0.387,0.204,0.14
SRC,01603A000,1,9,"","",0.688,0.688,0.688,0.688
SRC,01603A000,3,3,A,JP8,41.538,41.538,41.538,41.538
SRC,01603A000,3,3,W,DF2,10.075,10.075,10.075,10.075
SRC,01603A000,3,3,W,MG1,2.108,2.108,2.108,2.108
SRC,01603A000,3,7,"","",51.151,7.075,2.957,4.839
SRC,01603A000,3,9,"","",0.688,0.688,0.688,0.688
SRC,01605A000,1,3,A,JP8,38.072,38.072,38.072,38.072
SRC,01605A000,1,3,W,DF2,2.982,2.982,2.982,2.982
SRC,01605A000,1,3,W,MG1,3.277,3.277,3.277,3.277
SRC,01605A000,1,7,"","",39.392,0.084,0.048,0.03
SRC,01605A000,1,9,"","",0.054,0.054,0.054,0.054
SRC,01605A000,3,3,A,JP8,38.072,38.072,38.072,38.072
SRC,01605A000,3,3,W,DF2,4.404,4.404,4.404,4.404
SRC,01605A000,3,3,W,MG1,3.283,3.283,3.283,3.283
SRC,01605A000,3,7,"","",85.187,7.831,0.699,0.416
SRC,01605A000,3,9,"","",0.054,0.054,0.054,0.054
SRC,01606A000,1,3,W,DF2,7.774,7.774,7.774,7.774
SRC,01606A000,1,3,W,MG1,8.774,8.774,8.774,8.774
SRC,01606A000,1,7,"","",15.984,0.226,0.129,0.081
SRC,01606A000,1,9,"","",0.048,0.048,0.048,0.048
SRC,01606A000,3,3,W,DF2,11.629,11.629,11.629,11.629
SRC,01606A000,3,3,W,MG1,8.79,8.79,8.79,8.79
SRC,01606A000,3,7,"","",30.839,5.5,1.645,0.984
SRC,01606A000,3,9,"","",0.048,0.048,0.048,0.048
SRC,01607A000,1,3,A,JP8,185.882,185.882,185.882,185.882
SRC,01607A000,1,3,W,DF2,0.176,0.176,0.176,0.176
SRC,01607A000,1,7,"","",96.706,0,0,0
SRC,01607A000,1,9,"","",0.059,0.059,0.059,0.059
SRC,01607A000,3,3,A,JP8,185.882,185.882,185.882,185.882
SRC,01607A000,3,3,W,DF2,0.176,0.176,0.176,0.176
SRC,01607A000,3,7,"","",181.471,14.059,0.176,0.118
SRC,01607A000,3,9,"","",0.059,0.059,0.059,0.059
SRC,01608A000,1,3,W,DF2,0.086,0.086,0.086,0.086
SRC,01608A000,1,7,"","",32.286,0,0,0
SRC,01608A000,1,9,"","",0.057,0.057,0.057,0.057
SRC,01608A000,3,3,W,DF2,0.086,0.086,0.086,0.086
SRC,01608A000,3,7,"","",86.6,6.829,0.086,0.057
SRC,01608A000,3,9,"","",0.057,0.057,0.057,0.057
SRC,01615A000,1,3,A,JP8,47.684,47.684,47.684,47.684
SRC,01615A000,1,3,W,DF2,5.608,5.608,5.608,5.608
SRC,01615A000,1,3,W,MG1,3.325,3.325,3.325,3.325
SRC,01615A000,1,7,"","",12.443,0.156,0.084,0.055
SRC,01615A000,1,9,"","",0.705,0.705,0.705,0.705
SRC,01615A000,3,3,A,JP8,47.684,47.684,47.684,47.684
SRC,01615A000,3,3,W,DF2,6.03,6.03,6.03,6.03
SRC,01615A000,3,3,W,MG1,3.194,3.194,3.194,3.194
SRC,01615A000,3,7,"","",43.498,4.506,2.127,4.823
SRC,01615A000,3,9,"","",0.705,0.705,0.705,0.705
SRC,01616A000,1,3,W,DF2,11.794,11.794,11.794,11.794
SRC,01616A000,1,3,W,MG1,7.536,7.536,7.536,7.536
SRC,01616A000,1,7,"","",11.32,0.258,0.144,0.093
SRC,01616A000,1,9,"","",0.402,0.402,0.402,0.402
SRC,01616A000,3,3,W,DF2,12.979,12.979,12.979,12.979
SRC,01616A000,3,3,W,MG1,7.237,7.237,7.237,7.237
SRC,01616A000,3,7,"","",45.186,8.567,3.907,2.546
SRC,01616A000,3,9,"","",0.402,0.402,0.402,0.402
SRC,01617A000,1,3,A,JP8,108.333,108.333,108.333,108.333
SRC,01617A000,1,3,W,DF2,0.455,0.455,0.455,0.455
SRC,01617A000,1,7,"","",7.909,0,0,0
SRC,01617A000,1,9,"","",1.242,1.242,1.242,1.242
SRC,01617A000,3,3,A,JP8,108.333,108.333,108.333,108.333
SRC,01617A000,3,3,W,DF2,0.394,0.394,0.394,0.394
SRC,01617A000,3,7,"","",30.606,0.576,0.303,8.394
SRC,01617A000,3,9,"","",1.242,1.242,1.242,1.242
SRC,01618A000,1,3,A,JP8,108.333,108.333,108.333,108.333
SRC,01618A000,1,3,W,DF2,0.485,0.485,0.485,0.485
SRC,01618A000,1,7,"","",11.455,0.03,0,0
SRC,01618A000,1,9,"","",1.242,1.242,1.242,1.242
SRC,01618A000,3,3,A,JP8,108.333,108.333,108.333,108.333
SRC,01618A000,3,3,W,DF2,0.424,0.424,0.424,0.424
SRC,01618A000,3,7,"","",34.879,0.636,0.333,8.394
SRC,01618A000,3,9,"","",1.242,1.242,1.242,1.242
SRC,01619A000,1,3,A,JP8,14.049,14.049,14.049,14.049
SRC,01619A000,1,3,W,DF2,3.415,3.415,3.415,3.415
SRC,01619A000,1,3,W,MG1,1.39,1.39,1.39,1.39
SRC,01619A000,1,7,"","",23.171,0.268,0.146,0.098
SRC,01619A000,1,9,"","",0.122,0.122,0.122,0.122
SRC,01619A000,3,3,A,JP8,14.049,14.049,14.049,14.049
SRC,01619A000,3,3,W,DF2,3.122,3.122,3.122,3.122
SRC,01619A000,3,3,W,MG1,1.341,1.341,1.341,1.341
SRC,01619A000,3,7,"","",67.146,4.268,2.268,1.439
SRC,01619A000,3,9,"","",0.122,0.122,0.122,0.122
SRC,01622A000,1,3,W,DF2,2.981,2.981,2.981,2.981
SRC,01622A000,1,3,W,MG1,9.396,9.396,9.396,9.396
SRC,01622A000,1,7,"","",1.83,0,0,0
SRC,01622A000,1,9,"","",0.038,0.038,0.038,0.038
SRC,01622A000,3,3,W,DF2,2.887,2.887,2.887,2.887
SRC,01622A000,3,3,W,MG1,9.396,9.396,9.396,9.396
SRC,01622A000,3,7,"","",11.868,1.792,1.038,0.604
SRC,01622A000,3,9,"","",0.038,0.038,0.038,0.038
SRC,01625A000,1,3,A,JP8,45.938,45.938,45.938,45.938
SRC,01625A000,1,3,W,DF2,7.249,7.249,7.249,7.249
SRC,01625A000,1,3,W,MG1,2.981,2.981,2.981,2.981
SRC,01625A000,1,7,"","",10.411,0.232,0.127,0.081
SRC,01625A000,1,9,"","",0.43,0.43,0.43,0.43
SRC,01625A000,3,3,A,JP8,45.938,45.938,45.938,45.938
SRC,01625A000,3,3,W,DF2,9.049,9.049,9.049,9.049
SRC,01625A000,3,3,W,MG1,2.941,2.941,2.941,2.941
SRC,01625A000,3,7,"","",60.649,5.865,2.3,2.862
SRC,01625A000,3,9,"","",0.43,0.43,0.43,0.43
SRC,01626A000,1,3,A,JP8,14.625,14.625,14.625,14.625
SRC,01626A000,1,3,W,DF2,8.069,8.069,8.069,8.069
SRC,01626A000,1,3,W,MG1,7.417,7.417,7.417,7.417
SRC,01626A000,1,7,"","",18.292,0.194,0.111,0.069
SRC,01626A000,1,9,"","",0.042,0.042,0.042,0.042
SRC,01626A000,3,3,A,JP8,14.625,14.625,14.625,14.625
SRC,01626A000,3,3,W,DF2,12.292,12.292,12.292,12.292
SRC,01626A000,3,3,W,MG1,7.417,7.417,7.417,7.417
SRC,01626A000,3,7,"","",37.569,6.111,1.403,0.847
SRC,01626A000,3,9,"","",0.042,0.042,0.042,0.042
SRC,01628A000,1,3,A,JP8,57.89,57.89,57.89,57.89
SRC,01628A000,1,3,W,DF2,7.841,7.841,7.841,7.841
SRC,01628A000,1,3,W,MG1,2.228,2.228,2.228,2.228
SRC,01628A000,1,7,"","",7.497,0.248,0.131,0.09
SRC,01628A000,1,9,"","",0.345,0.345,0.345,0.345
SRC,01628A000,3,3,A,JP8,57.89,57.89,57.89,57.89
SRC,01628A000,3,3,W,DF2,9.269,9.269,9.269,9.269
SRC,01628A000,3,3,W,MG1,2.014,2.014,2.014,2.014
SRC,01628A000,3,7,"","",94.448,6.759,2.931,1.883
SRC,01628A000,3,9,"","",0.345,0.345,0.345,0.345
SRC,01635A000,1,3,A,JP8,51.916,51.916,51.916,51.916
SRC,01635A000,1,3,W,DF2,6.236,6.236,6.236,6.236
SRC,01635A000,1,3,W,MG1,3.278,3.278,3.278,3.278
SRC,01635A000,1,7,"","",14.996,0.211,0.118,0.076
SRC,01635A000,1,9,"","",0.464,0.464,0.464,0.464
SRC,01635A000,3,3,A,JP8,51.916,51.916,51.916,51.916
SRC,01635A000,3,3,W,DF2,7.865,7.865,7.865,7.865
SRC,01635A000,3,3,W,MG1,3.342,3.342,3.342,3.342
SRC,01635A000,3,7,"","",45.405,5.599,1.814,3.329
SRC,01635A000,3,9,"","",0.464,0.464,0.464,0.464
SRC,01636A000,1,3,W,DF2,7.642,7.642,7.642,7.642
SRC,01636A000,1,3,W,MG1,7.91,7.91,7.91,7.91
SRC,01636A000,1,7,"","",15.478,0.209,0.119,0.075
SRC,01636A000,1,9,"","",0.045,0.045,0.045,0.045
SRC,01636A000,3,3,W,DF2,11.09,11.09,11.09,11.09
SRC,01636A000,3,3,W,MG1,7.91,7.91,7.91,7.91
SRC,01636A000,3,7,"","",28.313,5.015,1.507,0.91
SRC,01636A000,3,9,"","",0.045,0.045,0.045,0.045
SRC,01637A000,1,3,A,JP8,279.706,279.706,279.706,279.706
SRC,01637A000,1,3,W,DF2,0.176,0.176,0.176,0.176
SRC,01637A000,1,7,"","",62.941,0,0,0
SRC,01637A000,1,9,"","",0.059,0.059,0.059,0.059
SRC,01637A000,3,3,A,JP8,279.706,279.706,279.706,279.706
SRC,01637A000,3,3,W,DF2,0.176,0.176,0.176,0.176
SRC,01637A000,3,7,"","",166.294,14.059,0.176,0.118
SRC,01637A000,3,9,"","",0.059,0.059,0.059,0.059
SRC,01638A000,1,3,A,JP8,49.346,49.346,49.346,49.346
SRC,01638A000,1,3,W,DF2,6.294,6.294,6.294,6.294
SRC,01638A000,1,3,W,MG1,1.614,1.614,1.614,1.614
SRC,01638A000,1,7,"","",9.464,0.235,0.124,0.085
SRC,01638A000,1,9,"","",0.693,0.693,0.693,0.693
SRC,01638A000,3,3,A,JP8,49.346,49.346,49.346,49.346
SRC,01638A000,3,3,W,DF2,7.314,7.314,7.314,7.314
SRC,01638A000,3,3,W,MG1,1.712,1.712,1.712,1.712
SRC,01638A000,3,7,"","",39.484,4.895,2.131,4.745
SRC,01638A000,3,9,"","",0.693,0.693,0.693,0.693
SRC,01645A000,1,3,A,JP8,67.826,67.826,67.826,67.826
SRC,01645A000,1,3,W,DF2,6.911,6.911,6.911,6.911
SRC,01645A000,1,3,W,MG1,3.137,3.137,3.137,3.137
SRC,01645A000,1,7,"","",8.802,0.176,0.095,0.061
SRC,01645A000,1,9,"","",0.519,0.519,0.519,0.519
SRC,01645A000,3,3,A,JP8,67.826,67.826,67.826,67.826
SRC,01645A000,3,3,W,DF2,7.61,7.61,7.61,7.61
SRC,01645A000,3,3,W,MG1,2.903,2.903,2.903,2.903
SRC,01645A000,3,7,"","",94.487,6.713,3.236,2.218
SRC,01645A000,3,9,"","",0.519,0.519,0.519,0.519
SRC,01655A000,1,3,A,JP8,55.819,55.819,55.819,55.819
SRC,01655A000,1,3,W,DF2,6.846,6.846,6.846,6.846
SRC,01655A000,1,3,W,MG1,2.963,2.963,2.963,2.963
SRC,01655A000,1,7,"","",9.365,0.2,0.108,0.069
SRC,01655A000,1,9,"","",0.541,0.541,0.541,0.541
SRC,01655A000,3,3,A,JP8,55.819,55.819,55.819,55.819
SRC,01655A000,3,3,W,DF2,8.037,8.037,8.037,8.037
SRC,01655A000,3,3,W,MG1,2.867,2.867,2.867,2.867
SRC,01655A000,3,7,"","",69.915,6.011,2.7,2.989
SRC,01655A000,3,9,"","",0.541,0.541,0.541,0.541
SRC,01656A000,1,3,W,DF2,8,8,8,8
SRC,01656A000,1,3,W,MG1,7.417,7.417,7.417,7.417
SRC,01656A000,1,7,"","",17.444,0.194,0.111,0.069
SRC,01656A000,1,9,"","",0.042,0.042,0.042,0.042
SRC,01656A000,3,3,W,DF2,12.236,12.236,12.236,12.236
SRC,01656A000,3,3,W,MG1,7.417,7.417,7.417,7.417
SRC,01656A000,3,7,"","",29,5.125,1.278,0.792
SRC,01656A000,3,9,"","",0.042,0.042,0.042,0.042
SRC,01665A000,1,3,W,DF2,5.247,5.247,5.247,5.247
SRC,01665A000,1,3,W,MG1,2.948,2.948,2.948,2.948
SRC,01665A000,1,7,"","",9.971,0.161,0.092,0.057
SRC,01665A000,1,9,"","",0.075,0.075,0.075,0.075
SRC,01665A000,3,3,W,DF2,5.138,5.138,5.138,5.138
SRC,01665A000,3,3,W,MG1,2.948,2.948,2.948,2.948
SRC,01665A000,3,7,"","",35.356,2.862,1.575,0.966
SRC,01665A000,3,9,"","",0.075,0.075,0.075,0.075
SRC,01804A000,1,3,A,JP8,39.508,39.508,39.508,39.508
SRC,01804A000,1,3,W,DF2,11.415,11.415,11.415,11.415
SRC,01804A000,1,3,W,MG1,0.277,0.277,0.277,0.277
SRC,01804A000,1,7,"","",6.831,0,0,0
SRC,01804A000,1,9,"","",0.554,0.554,0.554,0.554
SRC,01804A000,3,3,A,JP8,39.508,39.508,39.508,39.508
SRC,01804A000,3,3,W,DF2,9.938,9.938,9.938,9.938
SRC,01804A000,3,3,W,MG1,0.277,0.277,0.277,0.277
SRC,01804A000,3,7,"","",92.692,5.769,3.154,1.969
SRC,01804A000,3,9,"","",0.554,0.554,0.554,0.554
SRC,01832A000,1,3,W,DF2,2.722,2.722,2.722,2.722
SRC,01832A000,1,3,W,MG1,3.053,3.053,3.053,3.053
SRC,01832A000,1,7,"","",24.201,0.107,0.083,0
SRC,01832A000,1,9,"","",0.053,0.053,0.053,0.053
SRC,01832A000,3,3,W,DF2,2.408,2.408,2.408,2.408
SRC,01832A000,3,3,W,MG1,3.053,3.053,3.053,3.053
SRC,01832A000,3,7,"","",43.627,7.521,1.166,0.686
SRC,01832A000,3,9,"","",0.053,0.053,0.053,0.053
SRC,01835A000,1,3,A,JP8,62.751,62.751,62.751,62.751
SRC,01835A000,1,3,W,DF2,3.556,3.556,3.556,3.556
SRC,01835A000,1,3,W,MG1,1.968,1.968,1.968,1.968
SRC,01835A000,1,7,"","",4.9,0.027,0.015,0.01
SRC,01835A000,1,9,"","",0.229,0.229,0.229,0.229
SRC,01835A000,3,3,A,JP8,62.751,62.751,62.751,62.751
SRC,01835A000,3,3,W,DF2,3.11,3.11,3.11,3.11
SRC,01835A000,3,3,W,MG1,1.915,1.915,1.915,1.915
SRC,01835A000,3,7,"","",117.278,2.841,1.405,0.807
SRC,01835A000,3,9,"","",0.229,0.229,0.229,0.229
SRC,01836A000,1,3,W,DF2,9.764,9.764,9.764,9.764
SRC,01836A000,1,3,W,MG1,8.472,8.472,8.472,8.472
SRC,01836A000,1,7,"","",6.028,0,0,0
SRC,01836A000,1,9,"","",0.5,0.5,0.5,0.5
SRC,01836A000,3,3,W,DF2,7.792,7.792,7.792,7.792
SRC,01836A000,3,3,W,MG1,8.222,8.222,8.222,8.222
SRC,01836A000,3,7,"","",56.236,7.472,4.431,2.333
SRC,01836A000,3,9,"","",0.5,0.5,0.5,0.5
SRC,01837A100,1,3,A,JP8,121.768,121.768,121.768,121.768
SRC,01837A100,1,3,W,DF2,0.189,0.189,0.189,0.189
SRC,01837A100,1,3,W,MG1,0.063,0.063,0.063,0.063
SRC,01837A100,1,7,"","",6.105,0,0,0
SRC,01837A100,1,9,"","",0.2,0.2,0.2,0.2
SRC,01837A100,3,3,A,JP8,121.768,121.768,121.768,121.768
SRC,01837A100,3,3,W,DF2,0.168,0.168,0.168,0.168
SRC,01837A100,3,3,W,MG1,0.063,0.063,0.063,0.063
SRC,01837A100,3,7,"","",129.758,0.368,0.168,0.095
SRC,01837A100,3,9,"","",0.2,0.2,0.2,0.2
SRC,01837A200,1,3,A,JP8,122.413,122.413,122.413,122.413
SRC,01837A200,1,3,W,DF2,0.238,0.238,0.238,0.238
SRC,01837A200,1,7,"","",6.27,0,0,0
SRC,01837A200,1,9,"","",0.19,0.19,0.19,0.19
SRC,01837A200,3,3,A,JP8,122.413,122.413,122.413,122.413
SRC,01837A200,3,3,W,DF2,0.206,0.206,0.206,0.206
SRC,01837A200,3,7,"","",118.238,0.397,0.19,0.095
SRC,01837A200,3,9,"","",0.19,0.19,0.19,0.19
SRC,01839A000,1,3,A,JP8,17.514,17.514,17.514,17.514
SRC,01839A000,1,3,W,DF2,4.858,4.858,4.858,4.858
SRC,01839A000,1,3,W,MG1,1.25,1.25,1.25,1.25
SRC,01839A000,1,7,"","",2.804,0.074,0.041,0.027
SRC,01839A000,1,9,"","",0.135,0.135,0.135,0.135
SRC,01839A000,3,3,A,JP8,17.514,17.514,17.514,17.514
SRC,01839A000,3,3,W,DF2,4.601,4.601,4.601,4.601
SRC,01839A000,3,3,W,MG1,1.223,1.223,1.223,1.223
SRC,01839A000,3,7,"","",130.959,3.736,1.527,0.959
SRC,01839A000,3,9,"","",0.135,0.135,0.135,0.135
SRC,01845A000,1,3,A,JP8,29.446,29.446,29.446,29.446
SRC,01845A000,1,3,W,DF2,3.253,3.253,3.253,3.253
SRC,01845A000,1,3,W,MG1,0.998,0.998,0.998,0.998
SRC,01845A000,1,7,"","",9.778,0.036,0.019,0.012
SRC,01845A000,1,9,"","",0.339,0.339,0.339,0.339
SRC,01845A000,3,3,A,JP8,29.446,29.446,29.446,29.446
SRC,01845A000,3,3,W,DF2,2.779,2.779,2.779,2.779
SRC,01845A000,3,3,W,MG1,0.986,0.986,0.986,0.986
SRC,01845A000,3,7,"","",66.1,4.409,1.516,0.886
SRC,01845A000,3,9,"","",0.339,0.339,0.339,0.339
SRC,01846A000,1,3,A,JP8,0,0,0,0
SRC,01846A000,1,3,W,DF2,9.248,9.248,9.248,9.248
SRC,01846A000,1,3,W,MG1,3.969,3.969,3.969,3.969
SRC,01846A000,1,7,"","",3.38,0,0,0
SRC,01846A000,1,9,"","",0.566,0.566,0.566,0.566
SRC,01846A000,3,3,A,JP8,0,0,0,0
SRC,01846A000,3,3,W,DF2,7.488,7.488,7.488,7.488
SRC,01846A000,3,3,W,MG1,3.969,3.969,3.969,3.969
SRC,01846A000,3,7,"","",46.403,9.14,5.07,2.884
SRC,01846A000,3,9,"","",0.566,0.566,0.566,0.566
SRC,01847A000,1,3,A,JP8,24.224,24.224,24.224,24.224
